,brand,overall_rating,planet_score,people_score,animals_score,description
24,Coach,2,2,2,2,"Coach is owned by Tapestry.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Coach “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.There’s no evidence it minimises solvent-based chemicals, which can be harmful to workers and the environment in production.There’s no evidence it’s taking actions to minimise microplastic impacts.It’s published a biodiversity protection policy that applies to some of its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Coach “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 21-30% in the 2022 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Coach “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use down, exotic animal skin, shearling, exotic animal hair, and silk.It uses some recycled leather in its leather products.It states that it sources wool from non-mulesed sheep.It doesn’t appear to use fur, or angora.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Coach “Not Good Enough” overall."
25,Fendi,2,3,2,1,"Fendi is owned by LVMH.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Fendi “It's a Start”. These are a few factors influencing its score:It uses few lower-impact materials.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.It produces long-lasting products.It’s eliminated some hazardous chemicals but has not made a commitment to eliminate all hazardous chemicals in manufacturing.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Fendi “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 51-60% in the 2022 Fashion Transparency Index.It has a basic policy to support diversity and inclusion in its direct operations and supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Fendi “Very Poor”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, wool, down, fur, exotic animal skin, shearling, exotic animal hair, and silk.It doesn’t appear to use angora.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Fendi “Not Good Enough” overall."
26,Gucci,3,4,4,1,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Gucci “Good”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It has a policy to reduce the chemical-heavy chromium processes in its leather tanning.It uses low-waste cutting techniques to maximise fabric use.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Gucci “Good”. These are a few factors influencing its score:Its social auditing program covering its entire final production stage is accredited by Social Accountability International - SA8000.It received a score of 71-80% in the 2023 Fashion Transparency Index.It provides leadership programs for women in its supply chain, which can lead to promotions and higher wages.It ensures some workers in the final production stage are paid living wages, though not in its entire supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus. Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Gucci “Very Poor”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather, down, exotic animal skin, shearling, exotic animal hair, decorative feathers, and silk.Responsible Wool Standard certifies some of the wool it sources.Responsible Down Standard certifies some of the down it uses.It doesn’t appear to use fur, or angora.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Gucci “It's a Start” overall."
27,Hermes,2,3,2,1,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Hermès “It's a Start”. These are a few factors influencing its score:It uses some lower-impact materials including organic cotton.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It uses tanneries that are Leather Working Group certified.It produces long-lasting products.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Hermès “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 21-30% in the 2023 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.It ensures some workers in the final production stage are paid living wages, though not in its entire supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Hermès “Very Poor”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, wool, down, fur, exotic animal skin, shearling, exotic animal hair, horn, and silk.It doesn’t appear to use angora.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Hermès “Not Good Enough” overall."
28,Louis Vuitton,2,3,2,1,"Louis Vuitton is owned by LVMH.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Louis Vuitton “It's a Start”. These are a few factors influencing its score:It uses few lower-impact materials.It’s eliminated some hazardous chemicals but has not made a commitment to eliminate all hazardous chemicals in manufacturing.To minimise waste, it recycles some of its textile offcuts.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Louis Vuitton “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 21-30% in the 2022 Fashion Transparency Index.It has a basic policy to support diversity and inclusion in its direct operations and supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Louis Vuitton “Very Poor”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, fur, exotic animal skin, shearling, exotic animal hair, and silk.Responsible Wool Standard certifies some of the wool it sources.Responsible Down Standard certifies some of the down it uses.It doesn’t appear to use angora.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Louis Vuitton “Not Good Enough” overall."
29,Prada,2,2,2,1,"Prada is owned by Prada Group.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Prada “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.It’s eliminated some hazardous chemicals but has not made a commitment to eliminate all hazardous chemicals in manufacturing.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Prada “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 11-20% in the 2022 Fashion Transparency Index.It has a basic policy to support diversity and inclusion in its direct operations and supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Prada “Very Poor”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use leather, exotic animal skin, wool, down, angora, and exotic animal hair.It doesn’t appear to use fur.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Prada “Not Good Enough” overall."
30,Ralph Lauren,2,3,2,2,"Ralph Lauren is owned by Ralph Lauren Corporation.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Ralph Lauren “It's a Start”. These are a few factors influencing its score:It uses few lower-impact materials.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.While it offers clothing recycling to consumers, it doesn’t report on its results.It’s set a target to eliminate hazardous chemicals by 2025 but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Ralph Lauren “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 41-50% in the 2022 Fashion Transparency Index.It has a basic policy to support diversity and inclusion in its direct operations and supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Ralph Lauren “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather, exotic animal skin, shearling, exotic animal hair, decorative feathers, and silk.Responsible Wool Standard certifies some of the wool it sources.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur or angora.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Ralph Lauren “Not Good Enough” overall."
31,Saint Laurent,3,4,3,2,"Saint Laurent is owned by Kering.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Saint Laurent “Good”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.It’s published a biodiversity protection policy that applies to its entire supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.It has a policy to reduce the chemical-heavy chromium processes in its leather tanning.To minimise waste, it reuses some of its textile offcuts.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Saint Laurent “It's a Start”. These are a few factors influencing its score:Most of its final production stage happens in the European Union, a low/medium risk region for labour abuse.It received a score of 41-50% in the 2022 Fashion Transparency Index.It has a comprehensive policy to support diversity and inclusion in its direct operations but not in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Saint Laurent “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Domains of animal welfare.It appears to use leather, exotic animal skin, shearling, exotic animal hair, horn, decorative feathers, and silk.It uses recycled wool in some of its wool products.Responsible Down Standard certifies some of the down it uses.It doesn’t appear to use fur or angora.It traces most animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Saint Laurent “It's a Start” overall."
32,Stella McCartney,4,3,3,4,"Stella McCartney's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including organic cotton. It has a policy to prevent deforestation in the supply chain. There is no evidence it has set water management targets or goals. There is no evidence it has set a greenhouse gas emissions reduction target. Its labour rating is 'it's a start'. It is a member of the Ethical Trading Initiative - ETI. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It monitors most of its supply chain. It discloses partially adequate policies and safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'good'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses exotic animal hair. It states that it sources wool from non-mulesed sheep. It does not use leather, fur, angora, down or exotic animal skin. It traces most animal products to the first stage of production. Stella McCartney is rated 'Good' overall."
33,Telfar,1,1,1,2,"telfar's environment rating is 'very poor'. It uses few eco-friendly materials. There is no evidence it minimises textile waste when manufacturing its products. There is no evidence it reduces its carbon and other greenhouse gas emissions. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'very poor'. It does not publish sufficient relevant information about its labour policies to give a higher rating. As a shopper you have the right to know how its products impact on its workers. Its animal rating is 'not good enough'. There is no evidence it has an animal welfare policy. It uses wool, leather, down, exotic animal hair and fur. It does not use angora or exotic animal skin. There is no evidence it traces any animal products to the first stage of production. telfar is rated 'We avoid' overall."
34,The Row,1,1,1,2,"The Row's environment rating is 'very poor'. It uses few eco-friendly materials. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it minimises textile waste. Its labour rating is 'very poor'. There is no evidence it has worker empowerment initiatives such as collective bargaining. There is no evidence it ensures payment of a living wage in its supply chain. It traces some of its supply chain. It does not disclose adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. There is no evidence it has a policy to minimise the suffering of animals. It uses leather, wool, exotic animal hair and exotic animal skin. It does not use fur, down or angora. There is no evidence it traces any animal products to the first stage of production. The Row is rated 'We avoid' overall."
35,Theory,2,2,2,2,"Theory is owned by Fast Retailing. Its environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials. There is no evidence it minimises textile waste. It has set a science-based target to reduce greenhouse gas emissions generated from its own operations and supply chain but there is no evidence it is on track to meet its target. There is no evidence it has a policy to protect biodiversity in its supply chain. Its labour rating is 'not good enough'. Some of its supply chain is certified by FLA Workplace Code of Conduct. It received a score of 41-50% in the 2021 Fashion Transparency Index. There is no evidence it implements practices to support diversity and inclusion in its supply chain. There is no evidence it ensures payment of a living wage in most of its supply chain. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. It has a formal animal welfare policy aligned with Five Freedoms but has no clear mechanisms to implement. It uses leather, exotic animal hair and down. It has a policy to source wool from non-mulesed sheep but does not provide evidence on how it is implemented. It does not use fur, angora or exotic animal skin. It traces some animal products to the first stage of production.Theory is rated 'Not good enough' overall."
36,Tom Ford,1,1,1,0,"Transparency is essential for keeping brands accountable and making more informed choices. Unfortunately, TOM FORD provides insufficient information about the actions it’s taking to address its impacts on people, the planet, and animals. You have a right to know how the products you buy affect the issues you care about.Based on all publicly available information we’ve reviewed, we rate TOM FORD “We Avoid” overall."
37,Tory Burch,1,1,1,0,"Transparency is essential for keeping brands accountable and making more informed choices. Unfortunately, Tory Burch provides insufficient information about the actions it’s taking to address its impacts on people, the planet, and animals. You have a right to know how the products you buy affect the issues you care about.Based on all publicly available information we’ve reviewed, we rate Tory Burch “We Avoid” overall."
38,Valentino,2,2,2,2,"Valentino is owned by Valentino Fashion Group. Its environment rating is 'not good enough'. It does not use eco-friendly materials. There is no evidence it minimises textile waste. There is no evidence it reduces its carbon and other greenhouse gas emissions. It uses some recycled packaging. Its labour rating is 'not good enough'. Most of its final stage of production is undertaken in Italy, a medium risk country for labour abuse. It received a score of 0-10% in the Fashion Transparency Index. There is no evidence it has a policy to encourage diversity and inclusion in its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It does not disclose any policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses leather, wool, down and exotic animal hair. It does not use angora, exotic animal skin or fur. There is no evidence it traces any animal products to the first stage of production. Valentino is rated 'Not good enough' overall."
39,7 For All Mankind,2,2,2,2,"7 For All Mankind is owned by Delta Galil.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate 7 For All Mankind “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.There's no evidence it has set a greenhouse gas emissions reduction target.There’s no evidence it minimises textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate 7 For All Mankind “Not Good Enough”. These are a few factors influencing its score:Some of its supply chain is certified by Fair Labor Association (FLA).There’s no evidence it provides financial security to its suppliers, which can result in poor working conditions and wages.There’s no evidence it supports diversity and inclusion in most of its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate 7 For All Mankind “Not Good Enough”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use leather, wool, exotic animal hair, and silk.It doesn’t appear to use down, fur, angora, exotic animal skin, or exotic animal hair.There’s no evidence it traces any animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate 7 For All Mankind “Not Good Enough” overall."
40,Arc'teryx,2,2,3,3,"Arc’teryx is owned by Amer Sports. Its environment rating is 'not good enough'. There is no evidence it minimises textile waste. There is no evidence it implements water reduction initiatives. It complies with its own Restricted Substances List. There is no evidence it minimises packaging.Its labour rating is 'it's a start'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. There is no evidence it has worker empowerment initiatives such as collective bargaining or rights to make a complaint. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It traces most of its supply chain including all of the final and second stages of production. Its animal rating is 'it's a start'. It does not use fur, exotic animal skin, exotic animal hair or angora. It uses down accredited by the Responsible Down Standard. It states that it sources wool from non-mulesed sheep. It uses leather. Arc’teryx is rated 'Not good enough' based on information from our own research.Last Updated: September 2019"
41,aventura,3,3,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate Aventura “It's a Start”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including organic cotton.It uses lower impact materials, but there’s no evidence it’s taking further action to reduce its energy use or Greenhouse Gas Emissions.There’s no evidence it minimises textile waste in its Supply Chain.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Aventura “Not Good Enough”. These are a few factors influencing its score:Half of its final production stage is certified by Fair Trade USA.It sources its Final Stage of Production from countries with extreme risk of labour abuse.There’s no evidence it has a Code of Conduct.It partly traces its supply chain including all of the final production stage.It’s not clear if it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Aventura “Good”. These are a few factors influencing its score:It’s published a general statement about minimising animal suffering but not a formal animal welfare policy.Responsible Wool Standard certifies the wool it sources.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Aventura “It's a Start” overall."
42,Banana Republic,2,2,2,2,"Banana Republic is owned by GAP, Inc.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Banana Republic “Not Good Enough”. These are a few factors influencing its score:It uses some lower-impact materials including recycled materials.There's no evidence it minimises textile waste in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain, and it claims it’s on track.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Banana Republic “Not Good Enough”. These are a few factors influencing its score:None of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 41-50% in the 2023 Fashion Transparency Index.It has a basic policy to support diversity and inclusion in its direct operations and supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.During the height of the COVID-19 pandemic, it disclosed some policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Banana Republic “Not Good Enough”. These are a few factors influencing its score:It has a basic animal welfare policy with no clear implementation mechanisms in place.It appears to use leather, exotic animal hair, decorative feathers, and silk.It uses recycled wool in some of its wool products.It uses recycled down in all of its products.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Banana Republic “Not Good Enough” overall."
43,Boden,2,2,2,2,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Boden “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.There’s no evidence it’s taking meaningful action to reduce or eliminate hazardous chemicals in manufacturing.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.There’s no evidence it’s taking meaningful action to reduce water use.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Boden “Not Good Enough”. These are a few factors influencing its score:It sources its final stage of production from countries with extreme risk of labour abuse.There’s no evidence it supports diversity and inclusion in its supply chain.It audits some of its supply chain including all of the final production stage.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Boden “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, shearling, exotic animal hair, and silk.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.It doesn’t appear to use down, fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Boden “Not Good Enough” overall."
44,Buck Mason,2,2,2,2,"Buck Mason's environment rating is 'not good enough'. It uses some eco-friendly materials including recycled materials There is no evidence it minimises packaging. There is no evidence it has taken meaningful action to reduce or eliminate hazardous chemicals. There is no evidence it implements water reduction initiatives. Its labour rating is 'not good enough'. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits some of its suppliers regularly. Its animal rating is 'not good enough'. It uses leather, wool, down and exotic animal hair. It does not use fur, exotic animal skin or angora. Buck Mason is rated 'Not good enough' overall."
45,Calvin Klein,2,2,2,2,"Calvin Klein is owned by PVH.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Calvin Klein “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Calvin Klein “Not Good Enough”. These are a few factors influencing its score:Little of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 41-50% in the 2023 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.It claims to have a program to improve wages but there’s no evidence it ensures its workers are paid living wages in most of its supply chain.It’s taken insufficient steps to remediate its links to cotton sourced from Xinjiang, a region in China at risk of Uyghur forced labour.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Calvin Klein “Not Good Enough”. These are a few factors influencing its score:It has an animal welfare policy aligned with the Five Domains of animal welfare.It appears to use leather, shearling, exotic animal hair, and silk.Responsible Wool Standard certifies some of the wool it sources.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Calvin Klein “Not Good Enough” overall."
46,Carhartt,2,2,1,2,"Carhartt WIP's environment rating is 'not good enough'. It uses some eco-friendly materials including organic cotton. There is no evidence it reduces its carbon and other greenhouse gas emissions in its supply chain. There is no evidence it minimises textile waste when manufacturing its products. There is no evidence it has taken any meaningful action to reduce or eliminate hazardous chemicals. Its labour rating is 'very poor'. Some of its supply chain is certified by Social Accountability International - SA8000 in the final stage of production. It received a score of 0-10% in the 2022 Fashion Transparency Index. There is no evidence it implements practices to encourage diversity and inclusion in its direct operations or supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It has not disclosed adequate policies or safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'not good enough'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses leather and exotic animal hair. It uses down accredited by the Responsible Down Standard. It states that it sources wool from non-mulesed sheep but there is no evidence on how it is enforced. It does not use fur, angora or exotic animal skin. It traces some animal products to the first stage of production. Carhartt WIP is rated 'Not good enough' overall."
47,Christy Dawn,5,5,4,4,"Christy Dawn's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled fabrics. It produces long lasting products. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It sources its final stage of production from the USA, a medium risk country for labour abuse. It ensures payment of a living wage in some of its supply chain. It traces all of its supply chain. Its animal rating is 'good'. It does not use fur, angora, down or exotic animal skin. It uses recycled leather, recycled wool and recycled exotic animal hair. Christy Dawn is rated 'Great' overall."
48,Columbia,2,2,2,2,"Columbia is owned by Columbia Sportswear Company.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Columbia “Not Good Enough”. These are a few factors influencing its score:It uses few lower-impact materials.There’s no evidence it has set a greenhouse gas emissions reduction target.It uses some bluesign certified fabric.There’s no evidence it’s taking actions to protect biodiversity in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Columbia “Not Good Enough”. These are a few factors influencing its score:Little of its supply chain is certified by crucial labour standards that help ensure worker health and safety, living wages, and other rights.It received a score of 31-40% in the 2023 Fashion Transparency Index.There’s no evidence it supports diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it did not disclose adequate policies or safeguards to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Columbia “Not Good Enough”. These are a few factors influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.Responsible Down Standard certifies the down it uses.It doesn’t appear to use fur, angora, exotic animal skin, or exotic animal hair.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Columbia “Not Good Enough” overall."
49,Cotopaxi,4,3,4,4,"Cotopaxi's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including recycled materials. There is no evidence it minimises packaging. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It sources its final stage of production from countries with extreme risk of labour abuse . It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It visits its suppliers regularly. Its animal rating is 'good'. It does not use leather, fur, angora or exotic animal skin. It uses down accredited by the Responsible Down Standard. It uses exotic animal hair.Cotopaxi is rated 'Good' overall."
