,brand,overall_rating,planet_score,people_score,animals_score,description
110,Wellicious,3,5,2,Not applicable,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Wellicious “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It produces long-lasting products.It manufacturers its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Wellicious “Not Good Enough”. These are a few factors influencing its score:It does not disclose where its final stage of production occurs.There’s no evidence it has a Code of Conduct.It traces most of its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Since Wellicious makes products that are generally free of animal-derived materials, we’ve not rated its impact on animals. Its overall rating is based on its combined environment and labour scores.Based on all publicly available information we’ve reviewed, we rate Wellicious “It's a Start” overall."
111,Little Nature Lover,4,3,3,4,"Little Nature Lover's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including organic cotton. There is no evidence it minimises textile waste. There is no evidence it minimises packaging. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. Most of its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. Some of its suppliers are certified by Fair Trade USA. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Little Nature Lover is rated 'Good' overall."
112,Uniqlo,3,3,3,2,"Uniqlo is owned by Fast Retailing.Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Uniqlo “It's a Start”. These are a few issues influencing its score:It uses some lower-impact materials including recycled materials.It offers clothing recycling to consumers to help address end-of-life textile waste.It takes some actions to reduce water use in its supply chain.It’s set a science based target to reduce greenhouse gas emissions in both its direct operations and supply chain but there’s no evidence it is on track.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Uniqlo “It's a Start”. These are a few issues influencing its score:Its social auditing program covering its entire final production stage is accredited by Fair Labor Association (FLA).It received a score of 41-50% in the 2022 Fashion Transparency Index.There’s no evidence it implements practices to support diversity and inclusion in its supply chain.There’s no evidence it ensures workers are paid living wages in its supply chain.During the height of the COVID-19 pandemic, it disclosed adequate policies to protect workers in its supply chain from the virus.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Uniqlo “Not Good Enough”. These are a few issues influencing its score:It has a formal policy aligned with the Five Freedoms of animal welfare but no clear implementation mechanisms in place.It appears to use leather, exotic animal hair, and silk.It has a policy to source wool from non-mulesed sheep but doesn’t provide any evidence to verify its claims.It uses some recycled down in its products.It doesn’t appear to use fur, angora, or exotic animal skin.It traces some animal-derived materials to the first production stage.Based on all publicly available information we’ve reviewed, we rate Uniqlo “It's a Start” overall."
113,Blue Wren Collective,5,5,4,4,"Blue Wren Collective's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. It has a limited production run to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its products are manufactured in-house by a small team. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage.Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses recycled wool. Blue Wren Collective is rated 'Great' overall."
114,Fresh Cuts Clothing,4,4,4,4,"Fresh Cuts Clothing's rating applies to the Fresh Cuts Clothing house apparel brand only and does not cover other brands stocked by Fresh Cuts Clothing. Its environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It uses renewable energy in its supply chain to reduce it climate impact. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It traces most of its supply chain. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It ensures payment of a living wage in the final stage of production. It audits its suppliers. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Fresh Cuts Clothing is rated 'Good' overall."
115,The Common Good Company,5,5,4,5,"The Common Good Company's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It reuses most of its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is certified by Fairtrade. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces all of its supply chain. It audits its final stage of production. It ensures payment of a living wage in the final stage of production. Its animal rating is 'great'. It states that its entire product range is vegan. The Common Good Company is rated 'Great' overall."
116,I was a Sari,4,4,4,3,"I was a Sari's environment rating is 'good' It uses a high proportion of eco-friendly materials including upcycled materials. There is no evidence it minimises textile waste when manufacturing its products. It makes products by hand to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It provides jobs to disadvantaged women in Mumbai. It visits its suppliers regularly. It is unclear whether it ensures payment of a living wage in its supply chain.Its animal rating is 'it's a start'. It does not use wool, down, fur, exotic animal skin or exotic animal hair. It uses leather and silk. I was a Sari is rated 'Good' overall."
117,Hoppidi Handmade,4,5,4,4,"Hoppidi Handmade's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It products are made to order to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its products are manufactured in-house by the owner. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Hoppidi Handmade is rated 'Good' overall."
118,Whimsy + Row,4,5,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Whimsy + Row “Great”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.To minimise waste, it limits its production runs.It produces long-lasting products.It uses recycled packaging.It recycles water to reduce water use in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Whimsy + Row “It's a Start”. These are a few factors influencing its score:Most of its final production stage happens in the USA, a medium risk country for labour abuse.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.It visits its suppliers regularly.There’s no evidence it ensures workers' are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Whimsy + Row “Good”. These are a few factors influencing its score:It appears to use exotic animal hair.It uses recycled wool in all of its wool products.It doesn’t appear to use leather, down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Whimsy + Row “Good” overall."
119,Geggamoja,3,3,3,4,"Geggamoja's environment rating is 'it's a start'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. There is no evidence it minimises textile waste. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. It does not disclose where all of its final stage of production occurs. It traces most of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. Its final stage of production is monitored by Social Accountability International - SA8000. Its animal rating is 'good'. It does not use leather, down, fur, exotic animal skin or exotic animal hair. It states that it sources wool from non-mulesed sheep. Geggamoja is rated 'It's a start' overall."
120,AEANCE,4,4,3,4,"AEANCE's environment rating is 'good'. It uses some eco-friendly materials including recycled materials. Its fabrics are certified by Bluesign.There is no evidence it minimises textile waste when manufacturing its products. It manufactures locally to reduce its carbon footprint. Its labour rating is 'it's a start'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces most of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses wool certified by the ZQ Merino label. AEANCE is rated 'Good' overall."
121,unspun,5,5,4,5,unspun's environment rating is 'great'. Its products are made to order to minimise textile waste. It implements initiatives to reduce greenhouse gas emissions from manufacturing. It uses low impact non-toxic dyes in most of its products. It has implemented water reduction initiatives in its supply chain. Its labour rating is 'good'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It has a project to improve wages in part of its supply chain. It traces most of its supply chain. It visits its suppliers regularly. Its animal rating is 'great'. It states that its entire product range is vegan. unspun is rated 'Great' overall.
122,LesJour!,3,3,2,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate LesJour! “It's a Start”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including Lenzing Ecovero.It uses lower-impact materials that help limit the chemicals, water, and wastewater in its Supply Chain.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate LesJour! “Not Good Enough”. These are a few factors influencing its score:Its final production stage happens in the USA, a medium risk country for labour abuse.There’s no evidence it has a Code of Conduct.It traces most of its supply chain. There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate LesJour! “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate LesJour! “It's a Start” overall."
123,Loom,4,4,4,3,"Loom's environment rating is 'good'. It uses a high proportion of eco-friendly materials including organic cotton. It manufactures locally to reduce its climate impact. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production.Its labour rating is 'good'. Its final stage of production is undertaken in France and Portugal, medium risk countries for labour abuse. It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It audits or visits most of its supply chain. Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It states that it sources wool from non-mulesed sheep. It uses leather. Loom is rated 'Good' overall."
124,Kitikate,4,3,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Kitikate “It's a Start”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including Global Organic Textile Standard (GOTS) certified organic cotton cotton.It uses lower impact materials, but there’s no evidence it’s taking further action to reduce its energy use or greenhouse gas emissions.There’s no evidence it minimises textile waste in its supply chain.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Kitikate “It's a Start”. These are a few factors influencing its score:Much of its supply chain is certified by Global Organic Textile Standard (GOTS) certified organic cotton.It traces most of its supply chain.There’s no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Kitikate “Good”. It doesn’t appear to use animal-derived materials but doesn’t claim to be a vegan brand.Based on all publicly available information we’ve reviewed, we rate Kitikate “Good” overall."
125,Löffler,3,3,3,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Löffler “It's a Start”. These are a few factors influencing its score:It uses few lower-impact materials.There’s no evidence it takes action to address textile waste in its supply chain.To reduce its climate impacts, it uses renewable energy in its supply chain.Most of its products are certified by Oeko-Tex STeP.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Löffler “It's a Start”. These are a few factors influencing its score:There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.It traces most of its supply chain.It’s not clear if it ensures workers are paid living wages in its supply chain.It visits its suppliers regularly.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Löffler “It's a Start”. These are a few factors influencing its score:There’s no evidence it has an animal welfare policy.It appears to use wool.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Löffler “It's a Start” overall."
126,Kat The Label,3,3,3,Not applicable,"Kat The Label's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including upcycled materials. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. It states it has a Code of Conduct but does not publicly share it. It monitors health and safety issues with an internal procedure. It sources its final stage of production from countries with extreme risk of labour abuse. There is no evidence it ensures payment of a living wage in its supply chain. It traces most of its supply chain. This brand makes products that are generally free of animal materials so it is not applicable to rate its impact on animals. We calculate the overall rating from environment and labour scores only. Kat The Label is rated 'It's a start' overall."
127,Derbe,4,4,3,5,"Derbe's environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. There is no evidence it minimises textile waste when manufacturing its products. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It is unclear whether it ensures payment of a living wage in its supply chain. It traces most of its supply chain. It visits its suppliers but does not state how often.Its animal rating is 'great'. It is listed by PETA as vegan. Derbe is rated 'Good' overall."
128,Oy,4,4,3,Not applicable,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Oy “Good”. These are a few factors influencing its score:It uses a medium proportion of lower-impact materials including recycled materials.To minimise waste, it reuses some of its textile offcuts.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.It avoids plastic packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Oy “It's a Start”. These are a few factors influencing its score:Its final production stage happens in the European Union, a low/medium risk region for labour abuse.It partly traces its supply chain including all of the final production stage.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Since Oy makes products that are generally free of animal-derived materials, we’ve not rated its impact on animals. Its overall rating is based on its combined environment and labour scores.Based on all publicly available information we’ve reviewed, we rate Oy “Good” overall."
129,Where Does It Come From?,5,5,5,4,"Where Does It Come From?'s environment rating is 'great'. All its products are Global Organic Textile Standard (GOTS) certified. It reuses its offcuts to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. It traces all of its supply chain. It ensures payment of a living wage throughout its supply chain. It audits its suppliers. Its animal rating is 'good'. There is no evidence that it uses animal products but does not mention being vegan. Where Does It Come From? is rated 'Great' overall."
130,Apple Oak Fibre Works,5,5,5,4,"Apple Oak Fibre Works' rating applies to the Apple Oak Fibre Works house apparel brand only. Its environment rating is 'great'. It uses a high proportion of eco-friendly materials including upcycled materials. It has a limited production run to minimise textile waste. It manufactures locally to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. Its products are made in-house by the owner. It traces all of its supply chain. Its animal rating is 'good'. It does not use leather, wool, down, fur, angora, exotic animal skin or exotic animal hair. It uses cochineal dyes. Apple Oak Fibre Works is rated 'Great' overall."
131,Phyne,5,5,4,4,"Phyne's environment rating is 'great'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in Portugal, a medium risk country for labour abuse. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Phyne is rated 'Great' overall."
132,Thinking MU,4,4,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Thinking MU “Good”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.It completes the first and second stages of production closer to home to reduce its climate impact.There’s no evidence it minimises textile waste in its supply chain.It uses some recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Thinking MU “It's a Start”. These are a few factors influencing its score:Some of its supply chain is certified by Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance, including its entire final production stage.It partly traces its supply chain including all of the final production stage.There’s no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Thinking MU “Good”. These are a few factors influencing its score:Responsible Wool Standard certifies the wool it sources.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Thinking MU “Good” overall."
133,Kowtow,4,5,4,4,"Kowtow's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It uses low-impact dyes in most of its products. Its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its factories are certified by Social Accountability International - SA8000 and most of its supply chain is certified by Fairtrade International - Small Producers Organisations. It ensures payment of a living wage in most of its supply chain. It traces most of its supply chain. It audits its suppliers but does not state how often.Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Kowtow is rated 'Good' overall."
134,POPLINEN,4,5,4,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate POPLINEN “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, it limits its production runs.It uses compostable packaging.It manufactures its products closer to home to reduce the climate impact of long-distance shipping.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate POPLINEN “Good”. These are a few factors influencing its score:Its final production stage happens in the USA, a medium risk country for labour abuse.There's no evidence it has a Code of Conduct but it has a formal statement covering workers rights.It visits its suppliers regularly.It ensures workers in the final production stage are paid a living wage, though not in its entire supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate POPLINEN “Good”. These are a few factors influencing its score:It appears to use silk.It doesn’t appear to use leather, wool, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate POPLINEN “Good” overall."
135,SUI,4,5,4,4,"SUI's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It has a limited production run to minimise textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its products are manufactured in-house by a small team. It provides jobs to workers from disadvantaged communities. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. Its animal rating is 'good'. It does not use leather, down, wool, angora, fur, exotic animal skin or exotic animal hair. It uses silk. SUI is rated 'Good' overall."
136,Velocio,4,4,3,3,"Velocio's environment rating is 'good'. It uses some eco-friendly materials including recycled materials. Its fabrics are certified by Bluesign. It uses renewable energy in its supply chain to reduce its climate impact. It has a limited production run to minimise textile waste. Its labour rating is 'it's a start'. Its final stage of production is undertaken in Italy, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. It traces most of its supply chain. There is no evidence it ensures payment of a living wage in its supply chain. It visits its suppliers but does not state how often.Its animal rating is 'it's a start'. It does not use fur, down, exotic animal skin, exotic animal hair or angora. It uses wool. Velocio is rated 'Good' overall."
137,Tiny Twig,4,4,3,4,"Tiny Twig's environment rating is 'good'. It uses a high proportion of eco-friendly materials including Global Organic Textile Standard (GOTS) cotton. There is no evidence it minimises textile waste. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. It traces all of its supply chain. It does not disclose where its final stage of production occurs. It is unclear whether it ensures payment of a living wage in its supply chain. It audits its suppliers.Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Tiny Twig is rated 'Good' overall."
138,Cotopaxi,4,3,4,4,"Cotopaxi's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including recycled materials. There is no evidence it minimises packaging. There is no evidence it is taking specific steps to reduce energy use and greenhouse gas emissions. However its use of eco-friendly materials reduces its climate impact and limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It sources its final stage of production from countries with extreme risk of labour abuse . It traces most of its supply chain. It ensures payment of a living wage in some of its supply chain but does not specify what percentage. It visits its suppliers regularly. Its animal rating is 'good'. It does not use leather, fur, angora or exotic animal skin. It uses down accredited by the Responsible Down Standard. It uses exotic animal hair.Cotopaxi is rated 'Good' overall."
139,loud + proud,5,5,4,4,"loud + proud's environment rating is 'great'. Its products are Global Organic Textile Standard (GOTS) certified. It manufactures locally to reduce its carbon footprint. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'good'. Its final stage of production is undertaken in the European Union, a low/medium risk region for labour abuse. It traces all of its supply chain. It visits its suppliers regularly. It is unclear whether it ensures payment of a living wage in its supply chain.Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. loud + proud is rated 'Great' overall."
140,Harvest & Mill,5,5,4,5,"Harvest & Mill's environment rating is 'great'. It uses a high proportion of eco-friendly materials including organic cotton. It uses low-waste cutting techniques to minimise textile waste. It manufactures locally to reduce its carbon footprint. It uses low impact non-toxic dyes or no dyes in all of its products. Its labour rating is 'good'. Its final stage of production is undertaken in the USA, a medium risk country for labour abuse. There is no evidence it has a Code of Conduct but it has a formal statement covering workers rights. It traces all of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It visits its suppliers regularly. Its animal rating is 'great'. It is listed by PETA as vegan. Harvest & Mill is rated 'Great' overall."
141,Nudie Jeans,5,5,5,3,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and Wastewater to business models and product circularity. Here we rate Nudie Jeans “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses lower-impact materials that help limit the chemicals, water, and wastewater in its Supply Chain.To minimise waste, it reuses most of its textile offcuts.To reduce its climate impacts, it uses renewable energy in its supply chain.It has a policy to reduce the chemical-heavy chromium processes in its leather tanning.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Nudie Jeans “Great”. These are a few factors influencing its score:Most of its supply chain is certified by Fair Wear Foundation, Fairtrade International - Small Producers Organisations, Global Organic Textile Standard (GOTS) certified organic cotton, and Sedex Members Ethical Trade Audit - SMETA Best Practice Guidance.Its Code of Conduct covers ILO Four Fundamental Freedoms principles.It traces most of its supply chain.It ensures workers are paid living wages in some of its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Nudie Jeans “It's a Start”. These are a few factors influencing its score:It appears to use leather, exotic animal hair, and silk.Responsible Wool Standard certifies some of the wool it sources.It doesn’t appear to use down, fur, angora, or exotic animal skin.Based on all publicly available information we’ve reviewed, we rate Nudie Jeans “Great” overall."
142,zero waste daniel,4,5,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate zero waste daniel “Great”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including recycled materials.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.To minimise waste, its products are made-to-order.It uses recycled packaging.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate zero waste daniel “It's a Start”. These are a few factors influencing its score:Its final production stage happens in the USA, a medium risk country for labour abuse.It traces most of its supply chain.It’s not clear if it ensures workers are paid living wages in its supply chain.It visits its suppliers regularly.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate zero waste daniel “Good”. These are a few factors influencing its score:It appears to use silk.It uses recycled leather in all of its leather products.It doesn’t appear to use wool, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate zero waste daniel “Good” overall."
143,Thief&Bandit,4,4,3,4,"Thief&Bandit's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including organic cotton. Its products are made to order to minimise textile waste. It manufactures by hand to reduce its climate impact. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'it's a start'. Its products are manufactured in-house by a small team. It traces some of its supply chain. There is no evidence it ensures payment of a living wage. Its animal rating is 'good'. It does not use leather, down, fur, exotic animal skin or exotic animal hair. It uses chitosan. Thief&Bandit is rated 'Good' overall."
144,Day Won,4,4,2,4,Day Won's environment rating is 'good'. It uses a medium proportion of eco-friendly materials including recycled materials. It manufactures locally to reduce its carbon footprint. Its products are made to order to minimise textile waste. There is no evidence it minimises packaging.Its labour rating is 'not good enough'. Its final stage of production is undertaken in the USA a medium risk country for labour abuse. There is no evidence it has a Code of Conduct. There is no evidence it ensures payment of a living wage in its supply chain. There is no evidence it audits any of its supply chain. Its animal rating is 'good'. It does not use any animal products but it does not state that it's vegan. Day Won is rated 'Good' overall.
145,Organically,3,3,3,4,"Our “Planet” rating evaluates brands based on the environmental policies in their supply chains, from carbon emissions and wastewater to business models and product circularity. Here we rate Organically “It's a Start”. These are a few factors influencing its score:It uses a high proportion of lower-impact materials including organic cotton.It uses low impact materials that help limit the chemicals, water, and wastewater in its supply chain.There’s no evidence it minimises textile waste in its supply chain.There’s no evidence it takes action to minimise its packaging, which is a driver of plastic waste.Workers’ rights are central to our “People” rating, which assess brands’ policies and practices on everything from child labour to living wages and gender equality. Here we rate Organically “It's a Start”. These are a few factors influencing its score:Its final production stage happens in Japan, a medium risk country for labour abuse.It traces most of its supply chain.There’s no evidence it has a Code of Conduct.There’s no evidence it ensures workers are paid living wages in its supply chain.Brands’ animal welfare policies and, where applicable, how well they trace their animal-derived products are the focus of our “Animals” rating. Here we rate Organically “Good”. These are a few factors influencing its score:It uses few animal-derived materials.It appears to use wool.It doesn’t appear to use leather, down, fur, angora, exotic animal skin, or exotic animal hair.Based on all publicly available information we’ve reviewed, we rate Organically “It's a Start” overall."
146,The R Collective,5,5,5,4,"The R Collective's environment rating is 'great'. It uses a high proportion of eco-friendly materials including recycled materials. It uses compostable packaging. Its use of eco-friendly materials limits the amount of chemicals, water and wastewater used in production. Its labour rating is 'great'. It has a Code of Conduct that covers all of the ILO Four Fundamental Freedoms principles. It traces all of its supply chain. It ensures payment of a living wage in the final stage of production. It visits its suppliers regularly. Its animal rating is 'good'. It does not use fur, leather, down, exotic animal skin, exotic animal hair or angora. It uses recycled wool. The R Collective is rated 'Great' overall."
147,Stella McCartney,4,3,3,4,"Stella McCartney's environment rating is 'it's a start'. It uses a medium proportion of eco-friendly materials including organic cotton. It has a policy to prevent deforestation in the supply chain. There is no evidence it has set water management targets or goals. There is no evidence it has set a greenhouse gas emissions reduction target. Its labour rating is 'it's a start'. It is a member of the Ethical Trading Initiative - ETI. It traces most of its supply chain. It is unclear whether it ensures payment of a living wage in its supply chain. It monitors most of its supply chain. It discloses partially adequate policies and safeguards to protect suppliers and workers in its supply chain from the impacts of COVID-19. Its animal rating is 'good'. It has a general statement about minimising animal suffering but not a formal animal welfare policy. It uses exotic animal hair. It states that it sources wool from non-mulesed sheep. It does not use leather, fur, angora, down or exotic animal skin. It traces most animal products to the first stage of production. Stella McCartney is rated 'Good' overall."
